,Site Number,State,Latitude,Longitude
239,5302,Minnesota,44.473754,-93.012611
240,85,Missouri,38.656429,-90.198348
241,94,Missouri,38.63114,-90.28115
242,9007,Missouri,38.144972,-90.304783
243,9009,Missouri,37.65319,-91.12795
244,9010,Missouri,37.64876,-91.1498
245,9011,Missouri,37.63211,-91.13565
246,49,Montana,48.363694,-114.189272
247,66,Montana,45.786579,-108.45878
248,7772,Nevada,36.569333,-115.676651
249,7771,Nevada,36.318874,-115.586128
250,540,Nevada,36.141875,-115.078742
251,298,Nevada,36.048705,-115.052942
252,601,Nevada,35.978149,-114.846313
253,71,Nevada,36.16976,-115.263038
254,73,Nevada,36.173415,-115.332728
255,561,Nevada,36.163962,-115.11393
256,1501,Nevada,36.139707,-115.175654
257,1502,Nevada,36.174365,-115.13977
258,1019,Nevada,35.785665,-115.357087
259,1233,New Mexico,36.8071,-108.69523
260,110,New York,40.816,-73.902
261,122,New York,40.71961,-73.94771
262,79,New York,40.7997,-73.93432
263,124,New York,40.73614,-73.82153
264,111,New York,40.58027,-74.19832
265,134,New York,40.71436,-73.99518
266,133,New York,40.8679,-73.87809
267,135,New York,40.81976,-73.94825
268,125,New York,40.739264,-73.817694
269,1015,New York,43.05235,-76.05921
270,151,North Carolina,35.428,-76.7399
271,45,North Carolina,35.213171,-80.874084
272,46,North Carolina,35.314158,-80.713469
273,48,North Carolina,35.281791,-80.851473
274,105,North Dakota,48.392666,-102.910693
275,60,Ohio,41.492117,-81.678449
276,65,Ohio,41.446624,-81.662356
277,64,Ohio,41.361835,-81.86457
278,9021,Oklahoma,35.40814,-94.524413
279,170,Oklahoma,35.775813,-95.287067
280,174,Oklahoma,35.953708,-96.004975
281,297,Oklahoma,34.244189,-97.462931
282,604,Oklahoma,36.697186,-97.08135
283,175,Oklahoma,36.149877,-96.011664
284,178,Oklahoma,36.133802,-95.764537
285,235,Oklahoma,36.126945,-95.998941
286,1127,Oklahoma,36.204902,-95.976537
287,179,Oklahoma,36.15483,-96.015845
288,188,Oklahoma,36.228993,-95.269196
289,860,Oklahoma,36.158414,-98.931973
290,96,Oklahoma,35.477801,-97.303044
291,555,Oklahoma,36.512363,-97.845959
292,651,Oklahoma,34.63298,-98.42879
293,415,Oklahoma,34.885608,-95.78441
294,1037,Oklahoma,35.614131,-97.475083
295,226,Oklahoma,36.35586,-96.01243
296,324,Oklahoma,34.214818,-96.676936
297,144,Oklahoma,36.105481,-96.361196
298,9014,Oklahoma,36.228408,-95.249943
299,114,Oregon,42.434139,-123.348466
300,59,Oregon,44.067224,-123.141352
301,2129,Oregon,42.33155,-122.880266
302,63,Oregon,45.50077,-122.5717
303,201,Oregon,42.229891,-122.7877
304,215,Pennsylvania,41.867331,-75.686219
305,1301,Pennsylvania,40.402328,-79.860973
